Term,Part Of Term,School,Subject,Course Number,Section Number,CRN,Title,Long_Crs_Desc,CurrentEnroll,Enrollment (Including Cross List),Max Enrollment (Including Cross List),Seats Available (Including Cross List),Wait List Count (Including Cross List),Wait List Available (Including Cross List),Part of Term Start Date,Part of Term End Date,Primary Instructor,Other Instructors,Meeting Times,Rooms
Fall 2018,Full Term,College of Liberal Arts,ANTH,213,H,10915,Bioarchaeology,,5,5,12,7,0,999,8/27/18,12/14/18,"Klabacha, Mary",,TR 11:50 AM - 01:05 PM,BC 102
Fall 2018,Full Term,College of Liberal Arts,ANTH,301,M,10082,Medical Anthropology,,10,10,30,20,0,999,8/27/18,12/14/18,"Kadetz, Paul",,R 04:30 PM - 07:00 PM,BC 201
Fall 2018,Full Term,College of Liberal Arts,ANTH,410,X,10870,Specialized Honors in Anthropology I,Specialized Honors I: Climate Induced Conflict in the Sahel Region of Africa,1,1,1,0,0,999,8/27/18,12/14/18,"Dawson, Allan",,  - , 
Fall 2018,Full Term,College of Liberal Arts,ARBC,101,E,10002,Elementary Modern Standard Arabic,Elementary Modern Standard Arabic I,7,7,15,8,0,999,8/27/18,12/14/18,"Habbal, Manal",,MWF 10:25 AM - 11:40 AM,SEM 214
Fall 2018,Full Term,College of Liberal Arts,ARBC,103,F,10003,Arabic Conversation,,7,7,15,8,0,999,8/27/18,12/14/18,"Habbal, Manal",,TR 10:25 AM - 11:40 AM,SEM 212
Fall 2018,Full Term,College of Liberal Arts,ARBC,201,E,10004,Intermediate Modern Standard Arabic I,Intermediate Modern Standard Arabic I,10,10,15,5,0,999,8/27/18,12/14/18,"Ali, Karim",,WF 10:25 AM - 11:40 AM,BC 20
Fall 2018,Full Term,College of Liberal Arts,ART,104,FH,10078,"Light, Color & Design",,15,15,15,0,0,999,8/27/18,12/14/18,"Hoeltermann, Janne",,TR 11:05 AM - 01:05 PM,BC 18
Fall 2018,Full Term,College of Liberal Arts,ART,105,ZM,10109,Sculpture I,,12,12,12,0,1,998,8/27/18,12/14/18,"Stein, Raymond",,TR 02:40 PM - 04:40 PM,ARTS 8
Fall 2018,Full Term,College of Liberal Arts,ART,106,GJ,10081,Drawing I,,16,16,16,0,0,999,8/27/18,12/14/18,"Sherman, Claire",,WF 12:30 PM - 02:30 PM,ARTS 206
Fall 2018,Full Term,College of Liberal Arts,ART,106,HK,10209,Drawing I,,16,16,16,0,1,998,8/27/18,12/14/18,"Stein, Raymond",,TR 11:50 AM - 01:50 PM,ARTS 206
Fall 2018,Full Term,College of Liberal Arts,ART,106,KZ,10090,Drawing I,,12,12,16,4,0,999,8/27/18,12/14/18,"Karolak, Jason",,TR 01:55 PM - 03:55 PM,ARTS 206
Fall 2018,Full Term,College of Liberal Arts,ART,106,M,10222,Drawing I,,12,12,16,4,0,999,8/27/18,12/14/18,"Karolak, Jason",,TR 04:30 PM - 06:30 PM,ARTS 206
Fall 2018,Full Term,College of Liberal Arts,ART,112,JT,10219,Ceramic Sculpture I,,13,13,13,0,1,998,8/27/18,12/14/18,"Mutter, William",,MW 01:15 PM - 03:15 PM,ARTS 7
Fall 2018,Full Term,College of Liberal Arts,ART,112,TL,10224,Ceramic Sculpture I,,12,12,14,2,0,999,8/27/18,12/14/18,"Mutter, William",,MW 03:45 PM - 05:45 PM,ARTS 7
Fall 2018,Full Term,College of Liberal Arts,ART,120,EG,10114,Digital Imaging,,12,12,12,0,2,997,8/27/18,12/14/18,"Arnold, Lee",,WF 10:25 AM - 12:25 PM,ARTS 102
Fall 2018,Full Term,College of Liberal Arts,ART,120,TL,10108,Digital Imaging,,11,11,12,1,0,999,8/27/18,12/14/18,"Mulligan, Rory",,MW 02:40 PM - 04:40 PM,BC 18
Fall 2018,Full Term,College of Liberal Arts,ART,130,FH,10115,Photography I,,12,12,12,0,3,996,8/27/18,12/14/18,"Mulligan, Rory",,TR 10:25 AM - 12:25 PM,ARTS 102
Fall 2018,Full Term,College of Liberal Arts,ART,130,GJ,10083,Photography I,,12,12,12,0,0,999,8/27/18,12/14/18,"Soderholm, Rebecca",,MW 12:30 PM - 02:30 PM,ARTS 102
Fall 2018,Full Term,College of Liberal Arts,ART,130,M,10101,Photography I,,12,12,12,0,1,998,8/27/18,12/14/18,"Singer, Danna",,TR 04:30 PM - 06:30 PM,ARTS 102
Fall 2018,Full Term,College of Liberal Arts,ART,130,TL,10106,Photography I,,11,11,12,1,0,999,8/27/18,12/14/18,"Soderholm, Rebecca",,MW 02:40 PM - 04:40 PM,ARTS 102
Fall 2018,Full Term,College of Liberal Arts,ART,140,KZ,10096,Printmaking 1,,7,7,9,2,0,999,8/27/18,12/14/18,"Kruger, Ahni",,TR 01:15 PM - 03:15 PM,ARTS 3
Fall 2018,Full Term,College of Liberal Arts,ART,160,EG,10073,Painting I,,12,12,12,0,0,999,8/27/18,12/14/18,"Peglau, Michael",,MW 10:25 AM - 12:25 PM,ARTS 201
Fall 2018,Full Term,College of Liberal Arts,ART,160,JT,10220,Painting I,,12,12,12,0,0,999,8/27/18,12/14/18,"Peglau, Michael",,MW 01:15 PM - 03:15 PM,ARTS 201
Fall 2018,Full Term,College of Liberal Arts,ART,160,TL,10105,Painting I,,7,7,12,5,0,999,8/27/18,12/14/18,"Peglau, Michael",,MW 03:45 PM - 05:45 PM,ARTS 201
Fall 2018,Full Term,College of Liberal Arts,ART,206,EG,10072,Drawing II,,12,12,12,0,1,998,8/27/18,12/14/18,"Sherman, Claire",,WF 10:25 AM - 12:25 PM,ARTS 206
Fall 2018,Full Term,College of Liberal Arts,ART,212,JT,10087,Ceramic Sculpture II,,4,4,2,-2,0,999,8/27/18,12/14/18,"Mutter, William",,MW 01:15 PM - 03:15 PM,ARTS 7
Fall 2018,Full Term,College of Liberal Arts,ART,212,TL,10103,Ceramic Sculpture II,,2,2,2,0,3,996,8/27/18,12/14/18,"Mutter, William",,MW 03:45 PM - 05:45 PM,ARTS 7
Fall 2018,Full Term,College of Liberal Arts,ART,220,KZ,10088,Digital Video,,12,12,12,0,1,998,8/27/18,12/14/18,"Hoeltermann, Janne",,TR 01:55 PM - 03:55 PM,ARTS 102
Fall 2018,Full Term,College of Liberal Arts,ART,230,KZ,10091,Photography II,,11,11,12,1,0,999,8/27/18,12/14/18,"Singer, Danna",,TR 01:55 PM - 03:55 PM,ARTS 2
Fall 2018,Full Term,College of Liberal Arts,ART,240,KZ,10097,Printmaking II,,2,2,3,1,0,999,8/27/18,12/14/18,"Kruger, Ahni",,TR 01:15 PM - 03:15 PM,ARTS 3
Fall 2018,Full Term,College of Liberal Arts,ART,260,HK,10086,Painting II,,12,12,12,0,0,999,8/27/18,12/14/18,"Karolak, Jason",,TR 11:50 AM - 01:50 PM,ARTS 202
Fall 2018,Full Term,College of Liberal Arts,ART,300,X,10867,Ind. Study: Art,Independent Study in Art: Ceramics,1,1,1,0,0,999,8/27/18,12/14/18,"Mutter, William",,  - , 
Fall 2018,Full Term,College of Liberal Arts,ART,300,X1,10880,Ind. Study: Art,Independent Study in Art: Ceramic Sculpture,1,1,1,0,0,999,8/27/18,12/14/18,"Mutter, William",,  - , 
Fall 2018,Full Term,College of Liberal Arts,ART,340,KZ,10098,Printmaking III,,2,2,4,2,0,999,8/27/18,12/14/18,"Kruger, Ahni",,TR 01:15 PM - 03:15 PM,ARTS 3
Fall 2018,Full Term,College of Liberal Arts,ART,390,DF,10071,Senior Studio I,Advanced Studio Projects,9,9,12,3,0,999,8/27/18,12/14/18,"Stein, Raymond",,TR 09:40 AM - 11:40 AM,ARTS 207
Fall 2018,Full Term,College of Liberal Arts,ART,410,X,10893,Specialized Honors in Art I,Specialized Honors I: Presence of Art in Science,1,1,1,0,0,999,8/27/18,12/14/18,"Karolak, Jason",,  - , 
Fall 2018,Full Term,College of Liberal Arts,ART,410,X1,10926,Specialized Honors in Art I,,1,1,1,0,0,999,8/27/18,12/14/18,"Sherman, Claire",,  - , 
Fall 2018,Full Term,College of Liberal Arts,ARTH,101,H,10225,Western Art I: Ancient and Medieval,Survey of Western Art: Ancient and Medieval,12,12,45,33,0,999,8/27/18,12/14/18,"Keane, Marguerite",,TR 11:50 AM - 01:05 PM,ARTS 106
Fall 2018,Full Term,College of Liberal Arts,ARTH,102,J,10238,Survey West Art : Mod/Contem,"Survey of Western Art: Early Modern, Modern, and Contemporary",28,28,45,17,0,999,8/27/18,12/14/18,"Kuntz, Margaret",,MW 01:15 PM - 02:30 PM,ARTS 106
Fall 2018,Full Term,College of Liberal Arts,ARTH,221H,E,10237,Special Topics in Art History: International,"Topics in Art History: Baroque Arts of Early Modern Europe: Spectacles, Curiosities, & Magnificence",15,15,20,5,0,999,8/27/18,12/14/18,"Kuntz, Margaret",,MW 10:25 AM - 11:40 AM,ARTS 106
Fall 2018,Full Term,College of Liberal Arts,ARTH,302,D,10236,Medieval Art,,12,12,20,8,0,999,8/27/18,12/14/18,"Keane, Marguerite",,TR 09:00 AM - 10:15 AM,ARTS 106
Fall 2018,Full Term,College of Liberal Arts,ARTH,310,JT,10226,Colloquium in Art History,"Colloquium in Art History: Gender, Sexuality, and Victorian Visual Culture",12,12,15,3,0,999,8/27/18,12/14/18,"Rhodes, Kimberly",,M 01:15 PM - 03:45 PM,ARTS 105
Fall 2018,Full Term,College of Liberal Arts,ARTH,380,X,10233,British Experiential Research Tutorial,London Semester Interdisciplinary Colloquium,1,1,15,14,0,999,8/27/18,12/14/18,"Levi, Neil",,  - , 
Fall 2018,Full Term,College of Liberal Arts,ARTH,383,X,10229,Art and Architecture in London,,9,9,15,6,0,999,8/27/18,12/14/18,"Levi, Neil",,  - , 
Fall 2018,Full Term,College of Liberal Arts,ARTH,385,X,10337,New York Semester on Contemporary Art,New York Semester on Contemporary Art,16,16,25,9,0,999,8/27/18,12/14/18,"Rhodes, Kimberly",,  - , 
Fall 2018,Full Term,College of Liberal Arts,ARTH,385L,X,10338,New York Semester on Contemporary Art,New York Semester on Contemporary Art,7,7,15,8,0,999,8/27/18,12/14/18,"Rhodes, Kimberly",,WF 09:30 AM - 05:30 PM, 
Fall 2018,Full Term,College of Liberal Arts,ARTH,385L,X1,10339,New York Semester on Contemporary Art,New York Semester on Contemporary Art,1,1,15,14,0,999,8/27/18,12/14/18,"Rhodes, Kimberly",,W 09:30 AM - 05:30 PM, 
Fall 2018,Full Term,College of Liberal Arts,ARTH,385L,X2,10340,New York Semester on Contemporary Art,New York Semester on Contemporary Art,8,8,15,7,0,999,8/27/18,12/14/18,"Rhodes, Kimberly",,F 09:30 AM - 05:30 PM, 
Fall 2018,Full Term,College of Liberal Arts,BCHM,395,X,10006,Research in Biochemistry,Research in Biochemistry and Molecular Biology,8,8,12,4,0,999,8/27/18,12/14/18,"Cassano, Adam",,  - , 
Fall 2018,Full Term,College of Liberal Arts,BCHM,410,X,10826,Specialized Honors in Biochemistry I,Specialized Honors I: The Interaction of PQBP1 with the IFI16-cGAS-STING IFN Pathway,1,1,1,0,0,999,8/27/18,12/14/18,"Barker, Brianne",,  - , 
Fall 2018,Full Term,College of Liberal Arts,BCHM,410,X1,10827,Specialized Honors in Biochemistry I,Specialized Honors I: Understanding the Relationship between DNA Damage and DNA Sensors,1,1,1,0,0,0,8/27/18,12/14/18,"Barker, Brianne",,  - , 
Fall 2018,Full Term,College of Liberal Arts,BCHM,410,X2,10855,Specialized Honors in Biochemistry I,"Specialized Honors I: Ca2+ ions on the hydrolysis of the non-phosphodiesters, p-nitrophenyl acetate",1,1,1,0,0,999,8/27/18,12/14/18,"Cassano, Adam",,  - , 
Fall 2018,Full Term,College of Liberal Arts,BCHM,410,X3,10866,Specialized Honors in Biochemistry I,Specialized Honors I: Exploration of eEF3 in Monosiga brevicollis,1,1,1,0,0,999,8/27/18,12/14/18,"Dunaway, Stephen",,  - , 
Fall 2018,Full Term,College of Liberal Arts,BCHM,410,X4,10887,Specialized Honors in Biochemistry I,Specialized Honors I: Central Nervous System Disease Therapy,1,1,1,0,0,999,8/27/18,12/14/18,"Knowles, Roger",,  - , 
Fall 2018,Full Term,College of Liberal Arts,BCHM,410,X5,10891,Specialized Honors in Biochemistry I,Specialized Honors I: Innate immune responses STING-mediated pathway in natural/non-natural primates,1,1,1,0,0,999,8/27/18,12/14/18,"Barker, Brianne",,  - , 
Fall 2018,Full Term,College of Liberal Arts,BCHM,410,X6,10897,Specialized Honors in Biochemistry I,Specialized Honors I: Ketoreductase Activity of 45-million-year-old Yeast Strain Revived from Amber,1,1,1,0,0,999,8/27/18,12/14/18,"Connors, Neal",,  - , 
Fall 2018,Full Term,College of Liberal Arts,BCHM,410,X7,10982,Specialized Honors in Biochemistry I,Specialized Honors I: Biochemistry,1,1,1,0,0,999,8/27/18,12/14/18,"Cassano, Adam",,  - , 
Fall 2018,Full Term,College of Liberal Arts,BIOL,150,E,10013,Ecology and Evolution,,36,36,40,4,0,999,8/27/18,12/14/18,"Maier, Caroline",,MWF 10:25 AM - 11:40 AM,HSC S4
Fall 2018,Full Term,College of Liberal Arts,BIOL,150,E1,10015,Ecology and Evolution,,39,39,40,1,0,999,8/27/18,12/14/18,"Windfelder, Tammy",,MWF 10:25 AM - 11:40 AM,BC 201
Fall 2018,Full Term,College of Liberal Arts,BIOL,150,G,10018,Ecology and Evolution,,26,26,40,14,0,999,8/27/18,12/14/18,"Bajcz, Alex",,MWF 11:50 AM - 01:05 PM,HSC S4
Fall 2018,Full Term,College of Liberal Arts,BIOL,150L,BDF,10007,Lab for Ecology and Evolution,,19,19,20,1,0,999,8/27/18,12/14/18,"Nadler, Allison",,T 08:40 AM - 11:40 AM,HSC S129
Fall 2018,Full Term,College of Liberal Arts,BIOL,150L,JT1,10024,Lab for Ecology and Evolution,,12,12,20,8,0,999,8/27/18,12/14/18,"Scarano, Paris",,M 01:15 PM - 04:15 PM,HSC S129
Fall 2018,Full Term,College of Liberal Arts,BIOL,150L,JT2,10025,Lab for Ecology and Evolution,,19,19,20,1,0,999,8/27/18,12/14/18,"Scarano, Paris",,W 01:15 PM - 04:15 PM,HSC S129
Fall 2018,Full Term,College of Liberal Arts,BIOL,150L,JT3,10027,Lab for Ecology and Evolution,,14,14,20,6,0,999,8/27/18,12/14/18,"Scarano, Paris",,F 01:15 PM - 04:15 PM,HSC S129
Fall 2018,Full Term,College of Liberal Arts,BIOL,150L,KZ,10030,Lab for Ecology and Evolution,,20,20,20,0,0,999,8/27/18,12/14/18,"Scarano, Paris",,T 01:15 PM - 04:15 PM,HSC S129
Fall 2018,Full Term,College of Liberal Arts,BIOL,150L,KZ2,10033,Lab for Ecology and Evolution,,17,17,20,3,0,999,8/27/18,12/14/18,"Scarano, Paris",,R 01:15 PM - 04:15 PM,HSC S129
Fall 2018,Full Term,College of Liberal Arts,BIOL,150LA,KZ,10910,Lab for Ecology and Evolution,,1,1,1,0,0,999,8/27/18,12/14/18,,,T 01:15 PM - 04:15 PM,HSC S129
Fall 2018,Full Term,College of Liberal Arts,BIOL,250,D,10009,Molecular and Cellular Biology,,31,31,32,1,0,999,8/27/18,12/14/18,"Dunaway, Stephen",,TR 09:00 AM - 10:15 AM,HSC S4
Fall 2018,Full Term,College of Liberal Arts,BIOL,250,F,10017,Molecular and Cellular Biology,,32,32,32,0,0,999,8/27/18,12/14/18,"Dunaway, Stephen",,TR 10:25 AM - 11:40 AM,HSC S4
Fall 2018,Full Term,College of Liberal Arts,BIOL,250,H,10020,Molecular and Cellular Biology,,32,32,32,0,1,998,8/27/18,12/14/18,"Dunaway, Stephen",,TR 11:50 AM - 01:05 PM,HSC S4
Fall 2018,Full Term,College of Liberal Arts,BIOL,250L,JT,10022,Lab for Molecular and Cellular Biology,Lab for Molecular and Cellular Biology,16,16,16,0,0,999,8/27/18,12/14/18,"Miller, Joanna",,M 01:15 PM - 04:15 PM,HSC S133
Fall 2018,Full Term,College of Liberal Arts,BIOL,250L,JT2,10026,Lab for Molecular and Cellular Biology,Lab for Molecular and Cellular Biology,16,16,16,0,0,999,8/27/18,12/14/18,"Miller, Joanna",,W 01:15 PM - 04:15 PM,HSC S133
Fall 2018,Full Term,College of Liberal Arts,BIOL,250L,JT3,10028,Lab for Molecular and Cellular Biology,Lab for Molecular and Cellular Biology,15,15,16,1,0,999,8/27/18,12/14/18,"Miller, Joanna",,F 01:15 PM - 04:15 PM,HSC S133
Fall 2018,Full Term,College of Liberal Arts,BIOL,250L,KZ,10032,Lab for Molecular and Cellular Biology,,16,16,16,0,0,999,8/27/18,12/14/18,"Miller, Joanna",,T 01:15 PM - 04:15 PM,HSC S133
Fall 2018,Full Term,College of Liberal Arts,BIOL,250L,KZ1,10037,Lab for Molecular and Cellular Biology,,16,16,16,0,0,999,8/27/18,12/14/18,"Nadler, Allison",,T 01:15 PM - 04:15 PM,HSC S112
Fall 2018,Full Term,College of Liberal Arts,BIOL,250L,KZ2,10034,Lab for Molecular and Cellular Biology,,16,16,16,0,0,999,8/27/18,12/14/18,"Miller, Joanna",,R 01:15 PM - 04:15 PM,HSC S133
Fall 2018,Full Term,College of Liberal Arts,BIOL,256,D,10791,Anatomy and Physiology I,,14,14,32,18,0,0,8/27/18,12/14/18,"Russo, Anthony",,TR 09:00 AM - 10:15 AM,HSC S308
Fall 2018,Full Term,College of Liberal Arts,BIOL,256,F,10016,Anatomy and Physiology I,,33,33,32,-1,1,998,8/27/18,12/14/18,"Russo, Anthony",,TR 10:25 AM - 11:40 AM,HSC S308
Fall 2018,Full Term,College of Liberal Arts,BIOL,256L,JT,10021,Lab for Vertebrate Anatomy and Physiology I,Lab for Anatomy and Physiology I,16,16,16,0,0,999,8/27/18,12/14/18,"Russo, Anthony",,W 01:15 PM - 04:15 PM,HSC S106
Fall 2018,Full Term,College of Liberal Arts,BIOL,256L,KZ,10029,Lab for Vertebrate Anatomy and Physiology I,,16,16,16,0,2,997,8/27/18,12/14/18,"Russo, Anthony",,T 01:15 PM - 04:15 PM,HSC S106
Fall 2018,Full Term,College of Liberal Arts,BIOL,256L,R,10792,Lab for Vertebrate Anatomy and Physiology I,Lab for Vertebrate Anatomy and Physiology I,15,15,16,1,0,999,8/27/18,12/14/18,"Russo, Anthony",,W 06:00 PM - 09:00 PM,HSC S106
Fall 2018,Full Term,College of Liberal Arts,BIOL,296,X,10036,Intermediate Independent Study Research in Biology: Laboratory/Field,,0,0,0,0,0,0,8/27/18,12/14/18,,,  - , 
Fall 2018,Full Term,College of Liberal Arts,BIOL,302,D,10011,Geographic Information Systems,,14,20,20,0,1,998,8/27/18,12/14/18,"Jordan, Lisa",,TR 09:00 AM - 10:15 AM,BC 1
Fall 2018,Full Term,College of Liberal Arts,BIOL,308,F,10039,Conservation Biology,,29,29,30,1,0,999,8/27/18,12/14/18,"Windfelder, Tammy",,TR 10:25 AM - 11:40 AM,SEM 205
Fall 2018,Full Term,College of Liberal Arts,BIOL,312,D,10010,Evolutionary Genetics,,14,14,16,2,0,999,8/27/18,12/14/18,"Maier, Caroline",,TR 09:00 AM - 10:15 AM,HSC S105
Fall 2018,Full Term,College of Liberal Arts,BIOL,312L,KZ,10031,Lab for Evolutionary Genetics,,14,14,16,2,0,999,8/27/18,12/14/18,"Maier, Caroline",,T 01:15 PM - 04:15 PM,HSC S105
Fall 2018,Full Term,College of Liberal Arts,BIOL,346,D,10012,Systems Neurobiology,,3,25,28,3,0,999,8/27/18,12/14/18,"McKittrick, Christina",,TR 09:00 AM - 10:15 AM,HSC S139
Fall 2018,Full Term,College of Liberal Arts,BIOL,346L,JT,10023,Lab for Systems Neurobiology,,2,15,16,1,0,999,8/27/18,12/14/18,"McKittrick, Christina",,W 01:15 PM - 04:15 PM,HSC S112
Fall 2018,Full Term,College of Liberal Arts,BIOL,346L,LR,10777,Lab for Systems Neurobiology,,1,10,12,2,0,999,8/27/18,12/14/18,"McKittrick, Christina",,W 06:00 PM - 09:00 PM,HSC S112
Fall 2018,Full Term,College of Liberal Arts,BIOL,348,G,10019,Immunology,,16,16,16,0,2,997,8/27/18,12/14/18,"Barker, Brianne",,MWF 11:50 AM - 01:05 PM,HSC S105
Fall 2018,Full Term,College of Liberal Arts,BIOL,348L,KZ2,10040,Immunology Lab,,16,16,16,0,2,997,8/27/18,12/14/18,"Barker, Brianne",,R 01:15 PM - 04:15 PM,HSC S112
Fall 2018,Full Term,College of Liberal Arts,BIOL,358,C,10008,Diseases of the Brain,,9,20,20,0,1,998,8/27/18,12/14/18,"Knowles, Roger",,MWF 09:10 AM - 10:15 AM,HSC S142
Fall 2018,Full Term,College of Liberal Arts,BIOL,394,X,10869,Advanced Independent Study in Biology: Literature Research,,1,1,1,0,0,999,8/27/18,12/14/18,"Windfelder, Tammy",,  - , 
Fall 2018,Full Term,College of Liberal Arts,BIOL,396,X,10035,Advanced Research in Biology: Laboratory and Field,,0,0,0,0,0,0,8/27/18,12/14/18,,,  - , 
Fall 2018,Full Term,College of Liberal Arts,BIOL,396,X1,10838,Advanced Research in Biology: Laboratory and Field,,1,1,1,0,0,999,8/27/18,12/14/18,"Dasmahapatra, Bimal",,  - , 
Fall 2018,Full Term,College of Liberal Arts,BIOL,396,X2,10868,Advanced Research in Biology: Laboratory and Field,,1,1,1,0,0,999,8/27/18,12/14/18,"Windfelder, Tammy",,  - , 
Fall 2018,Full Term,College of Liberal Arts,BIOL,396,X3,10878,Advanced Research in Biology: Laboratory and Field,,1,1,1,0,0,999,8/27/18,12/14/18,"McKittrick, Christina",,  - , 
Fall 2018,Full Term,College of Liberal Arts,BIOL,396,X4,10904,Advanced Research in Biology: Laboratory and Field,,1,1,1,0,0,999,8/27/18,12/14/18,"Dunaway, Stephen",,  - , 
Fall 2018,Full Term,College of Liberal Arts,BIOL,396,X5,10960,Advanced Research in Biology: Laboratory and Field,,1,1,1,0,0,999,8/27/18,12/14/18,"Windfelder, Tammy",,  - , 
Fall 2018,Full Term,College of Liberal Arts,BIOL,410,X,10038,Specialized Honors I,,0,0,0,0,0,0,8/27/18,12/14/18,,,  - , 
Fall 2018,Full Term,College of Liberal Arts,BIOL,410,X1,10854,Specialized Honors I,Specialized Honors I: Natural Product Antibiotic Discovery,1,1,1,0,0,999,8/27/18,12/14/18,"Connors, Neal",,  - , 
Fall 2018,Full Term,College of Liberal Arts,BIOL,410,X2,10966,Specialized Honors I,Specialized Honors I: Reeval Pediatric Fracture Risk,1,1,1,0,0,0,8/27/18,12/14/18,"Knowles, Roger",,  - , 
Fall 2018,Full Term,College of Liberal Arts,BST,115,L,10095,Fundamentals of Financ. Acctg.,Fundamentals of Financial Accounting,25,25,30,5,0,999,8/27/18,12/14/18,"Crisonino, Karen",,MW 04:30 PM - 05:45 PM,BC 117
Fall 2018,Full Term,College of Liberal Arts,BST,115,T,10104,Fundamentals of Financ. Acctg.,Fundamentals of Financial Accounting,29,29,30,1,0,999,8/27/18,12/14/18,"Crisonino, Karen",,MW 02:40 PM - 03:55 PM,BC 117
Fall 2018,Full Term,College of Liberal Arts,BST,150,D,10089,Special Topics in Business Studies,Special Topics in Business Studies: Business of Sports,30,30,32,2,1,998,8/27/18,12/14/18,"Keckler, Darryl",,TR 09:00 AM - 10:15 AM,BC 117
Fall 2018,Full Term,College of Liberal Arts,BST,209,T,10780,Anthropology of Business,,6,23,25,2,0,999,8/27/18,12/14/18,"Dawson, Allan",,WF 02:40 PM - 03:55 PM,BC 120
Fall 2018,Full Term,College of Liberal Arts,BST,250,H,10094,Business Studies Special/Selected Topics,Special Topics: Bankruptcies and Valuation of Distressed Companies,14,14,25,11,0,999,8/27/18,12/14/18,"King, Jean",,TR 11:50 AM - 01:05 PM,BC 204
Fall 2018,Full Term,College of Liberal Arts,BST,250H,Q,10735,BST Special/Selected Topics,Topics in Business: The Work of Innovation: Creating Organizations that Solve Problems,15,18,20,2,0,999,8/27/18,12/14/18,"Panayi, Andreas",,T 07:00 PM - 09:30 PM,BC 118
Fall 2018,Full Term,College of Liberal Arts,BST,305,H,10093,Market Strategy & Marketing,,20,20,20,0,4,995,8/27/18,12/14/18,"de Voogt, Alexander",,TR 11:50 AM - 01:05 PM,BC 117
Fall 2018,Full Term,College of Liberal Arts,BST,310,G,10092,Management,,21,21,20,-1,10,989,8/27/18,12/14/18,"Kohn, Jennifer",,MWF 11:50 AM - 01:05 PM,BC 117
Fall 2018,Full Term,College of Liberal Arts,BST,321,R,10102,Corporate Finance,,2,23,25,2,0,999,8/27/18,12/14/18,"Anderson, David",,W 07:00 PM - 09:30 PM,BC 117
Fall 2018,Full Term,College of Liberal Arts,BST,350,Q,10100,Special Topics,Special Topics: Urban Governance and Finance,17,18,20,2,0,999,8/27/18,12/14/18,"Lian, Gerard",,T 07:00 PM - 09:30 PM,BC 204
Fall 2018,Full Term,College of Liberal Arts,BST,350,X,10977,Special Topics,Special Topics in Business: How multi-national corporations manage teams located around the world,1,1,1,0,0,999,8/27/18,12/14/18,"Kohn, Jennifer",,  - , 
Fall 2018,Full Term,College of Liberal Arts,BST,372,K,10642,Organizational Psy &Leadership,Organizational Psychology and Leadership,12,19,20,1,1,998,8/27/18,12/14/18,"de Voogt, Alexander",,TR 01:15 PM - 02:30 PM,BC 117
